Degree
10
3
7
4
0
11
0
5
3
8
5
1
5
5
2
0
13
2
7
10
3
1
3
4
3
2
1
1
2
2
1
4
12
16
7
2
7
16
0
3
15
7
5
1
1
1
1
9
8
14
17
18
1
7
7
12
9
3
2
5
2
3
4
18
11
10
5
6
5
9
15
0
3
0
1
10
17
12
4
2
6
14
11
13
8
10
3
3
7
10
4
2
7
3
1
2
1
7
10
7
5
2
1
5
1
6
3
4
3
3
1
1
1
0
2
4
2
8
0
1
4
2
8
2
1
3
1
1
4
5
7
6
5
0
0
0
4
4
4
3
0
3
5
3
2
1
1
6
1
7
4
2
14
7
2
1
1
2
0
0
0
1
4
0
3
1
1
1
0
0
3
5
3
0
1
1
1
2
0
0
9
7
11
7
7
3
1
9
6
7
10
10
6
1
2
1
0
6
2
4
0
5
2
1
1
1
1
4
3
3
3
1
0
3
1
2
0
1
2
1
1
2
0
1
5
1
1
3
6
3
0
3
0
7
0
0
0
4
2
11
7
4
2
3
5
2
5
6
1
7
1
4
12
7
2
2
1
6
1
1
2
1
3
8
5
1
8
4
6
6
1
0
3
3
2
2
1
2
1
0
0
2
5
5
8
3
5
1
6
7
13
1
1
0
0
0
2
0
1
1
2
14
9
14
13
8
11
11
1
1
1
0
0
6
1
2
2
1
1
0
0
0
2
2
5
3
1
1
1
3
2
3
1
1
1
2
2
2
6
1
