clustering
0.318182
0.666667
0.464286
0.466667
0
0.174877
0.212121
0
0.533333
1
0.472222
0.4
0
0.466667
0.6
1
0
0.359477
1
0.272727
0.134238
0.296703
1
1
0.666667
0.9
1
1
0
0
0.102843
0.833333
0
0
0.7
0.432749
0.161734
0.140461
0.180645
0.247619
0.575758
1
0.545455
0.316017
0
0
0.333333
0.466667
0.694444
1
0
0
0
0.362637
0.377778
0.326316
0.22381
0.336842
1
0.244444
0.422222
0.406593
0.391667
0.733333
1
0.535714
0.5
0.666667
0.6
0.101449
0.2
0.101075
0.290476
0.274725
0.487179
0.666667
0.75
0.353333
0.571429
0.227273
0.294118
0
0.666667
1
1
0.309091
0.366013
0.530303
0.5
1
0.466667
0.505495
0.636364
0.512821
0.357143
0.488889
1
1
0.619048
0.363636
0.833333
1
0.761905
0
0
0
0
0.571429
0.577778
0.714286
0.9
0
0
1
0
0.333333
1
0.6
1
0.4
0
1
0
0
1
0.6
1
0.488889
0
0
0.8
1
0.388889
0.666667
0
1
0
0
1
0.933333
0.678571
0.809524
0.933333
0
0
0
0.9
0.9
0.9
1
0
0.333333
0.2
0.666667
0
0
0
0.466667
0
0.380952
1
1
0.444444
0.5
1
0
0
0.666667
0
0
0
1
0.5
0
0.5
0
0
0
0
0
0.666667
0.1
0.666667
0
0
0
0
0
0
0
0.555556
0.857143
0.618182
0.857143
0.857143
1
0
0.555556
1
0.857143
0.711111
0.711111
1
0
0.666667
1
0
0.380952
1
0.266667
0
0.666667
0
1
1
0
0
0.5
1
1
1
0
0
0.333333
1
0.666667
0
1
0
0
0
0.333333
0
1
0.380952
1
0
1
0.52381
0.666667
0
0.833333
0
0.25
0
0
0
0.5
1
0.19697
0.321429
0.833333
1
0.333333
0.7
0
0.5
0.466667
0
0.178571
0
0.4
0.296703
0.464286
0
1
0
0.571429
0
1
0
0
0.833333
0.277778
0.6
0
0.472222
0.8
0.466667
0.533333
0
0
1
0.833333
1
1
0
1
1
0
0
1
0.714286
0.866667
0.611111
1
0.8
0
0.571429
0.583333
0.529412
1
0
0
0
0
0.333333
0
0
0
0
0.491667
0.709091
0.45
0.561905
0.844444
0.74359
0.692308
0
1
1
0
0
1
0
0.333333
0
0
1
0
0
0
0.666667
0
0.533333
0.533333
1
1
0
0.333333
1
0.5
0
0
0
1
1
1
0.52381
0
