Degree,,,
2,,0,22
6,,1,87
5,,2,48
1,,3,34
10,,4,25
1,,5,23
5,,6,18
4,,7,10
4,,8,9
1,,9,6
5,,10,11
6,,11,4
3,,12,3
1,,13,2
2,,14,1
8,,15,
43,,16,2
2,,17,
3,,18,1
2,,19,1
2,,20,1
2,,21,
1,,22,
1,,23,
46,,24,
4,,25,
2,,26,1
2,,27,
4,,28,
12,,29,
35,,30,
44,,31,
26,,32,
4,,33,
11,,34,
18,,35,1
1,,36,
8,,37,
7,,38,
2,,39,
13,,40,
10,,41,
16,,42,
19,,43,1
16,,44,1
2,,45,
10,,46,1
6,,,
10,,,
10,,,
4,,,
2,,,
6,,,
3,,,
5,,,
5,,,
9,,,
20,,,
4,,,
10,,,
1,,,
2,,,
0,,,
2,,,
11,,,
10,,,
3,,,
5,,,
2,,,
12,,,
9,,,
11,,,
7,,,
8,,,
3,,,
3,,,
6,,,
8,,,
3,,,
6,,,
2,,,
3,,,
1,,,
2,,,
1,,,
6,,,
9,,,
6,,,
4,,,
1,,,
1,,,
4,,,
1,,,
3,,,
4,,,
3,,,
0,,,
1,,,
1,,,
1,,,
1,,,
3,,,
2,,,
1,,,
0,,,
5,,,
3,,,
9,,,
4,,,
1,,,
4,,,
1,,,
1,,,
6,,,
6,,,
7,,,
5,,,
8,,,
1,,,
1,,,
1,,,
4,,,
5,,,
5,,,
5,,,
1,,,
2,,,
5,,,
2,,,
2,,,
1,,,
1,,,
5,,,
1,,,
5,,,
3,,,
2,,,
14,,,
6,,,
1,,,
1,,,
2,,,
0,,,
0,,,
1,,,
3,,,
0,,,
1,,,
2,,,
1,,,
1,,,
0,,,
0,,,
5,,,
2,,,
2,,,
0,,,
1,,,
1,,,
2,,,
1,,,
0,,,
0,,,
7,,,
9,,,
11,,,
7,,,
7,,,
3,,,
1,,,
9,,,
6,,,
7,,,
10,,,
10,,,
6,,,
1,,,
1,,,
2,,,
0,,,
5,,,
5,,,
2,,,
0,,,
3,,,
2,,,
1,,,
1,,,
1,,,
1,,,
4,,,
3,,,
3,,,
3,,,
1,,,
1,,,
4,,,
2,,,
3,,,
1,,,
2,,,
2,,,
1,,,
3,,,
1,,,
1,,,
2,,,
7,,,
2,,,
1,,,
4,,,
7,,,
3,,,
1,,,
4,,,
1,,,
8,,,
1,,,
1,,,
1,,,
2,,,
4,,,
12,,,
8,,,
4,,,
2,,,
3,,,
5,,,
2,,,
5,,,
6,,,
1,,,
4,,,
3,,,
1,,,
1,,,
1,,,
0,,,
1,,,
1,,,
1,,,
3,,,
8,,,
5,,,
1,,,
6,,,
4,,,
3,,,
5,,,
1,,,
0,,,
0,,,
3,,,
2,,,
2,,,
1,,,
2,,,
1,,,
0,,,
0,,,
1,,,
4,,,
4,,,
6,,,
3,,,
3,,,
4,,,
1,,,
5,,,
2,,,
1,,,
1,,,
1,,,
3,,,
1,,,
0,,,
1,,,
8,,,
13,,,
10,,,
7,,,
10,,,
1,,,
2,,,
2,,,
1,,,
1,,,
5,,,
1,,,
3,,,
0,,,
2,,,
1,,,
1,,,
1,,,
3,,,
0,,,
6,,,
6,,,
2,,,
2,,,
1,,,
3,,,
2,,,
4,,,
1,,,
1,,,
0,,,
2,,,
1,,,
1,,,
3,,,
1,,,
