Id,Label,cluster,modularity_class,Degree
321,Isabela Alvarez,11,12,2
322,DeLancey,11,12,1
323,Jackson (SHIELD agent),11,12,1
324,The Destroyer,11,12,8
325,Gorr the God Butcher,11,12,3
326,Rapu,11,12,1
327,Actor Loki,11,12,2
328,Actor Odin,11,12,1
329,Miek,11,12,2
330,Axl,11,12,1
331,Zeus,11,12,1
332,Surtur,11,12,1
333,Skurge,11,12,3
334,Actor Thor,11,12,2
335,Hela,11,12,6
336,Topaz,11,1,2
337,Grandmaster,11,12,6
338,Cousin Carlo,11,12,2
339,Warsong,11,12,1
340,Fenris,11,12,3
341,Commodore,11,12,2
342,Malekith,11,12,4
343,Kurse,11,12,1
344,Bor Burison,11,12,1
345,Richard Madison,11,12,1
346,Ian Boothby,11,12,3
347,Navid,11,12,2
348,Maddie,11,12,2
349,The Collector,3,10,7
350,The Watcher,0,0,1
