Thor,Surtur,
Thor,Surtur,
Thor,Surtur,
Thor,Skurge,
Thor,Skurge,
Actor Thor,Actor Loki,
Actor Thor,Sif,
Thor,Odin,
Thor,Odin,
Thor,Loki,
Thor,Loki,Doctor Strange
Thor,Doctor Strange,
Thor,Doctor Strange,
Thor,Doctor Strange,
Thor,Loki,
Doctor Strange,Loki,
Thor,Loki,
Loki,Thor,
Thor,Hela,
Thor,Loki,
Hela,Fandral,Volstagg
Hela,Skurge,
Hogun,Hela,
Hela,Skurge,
Grandmaster,Topaz,
Thor,Grandmaster,
Grandmaster,Topaz,
Grandmaster,Cousin Carlo,
Thor,Cousin Carlo,
Loki,Thor,
Grandmaster,Loki,Thor
Thor,Korg,
Hela,Skurge,
Thor,Loki,
Thor,Korg,
Korg,Thor,
Thor,Valkyrie,
Thor,Stan Lee,
Grandmaster,Loki,
Thor,Hulk,
Loki,Grandmaster,
Hulk,Thor,
Thor,Hulk,
Hulk,Thor,
Thor,Hulk,
Hulk,Thor,
Thor,Hulk,
Hulk,Thor,
Thor,Heimdall,
Heimdall,Thor,
Heimdall,Thor,
Heimdall,Thor,
Thor,Hulk,
Hulk,Thor,
Thor,Hulk,
Hulk,Thor,
Thor,Hulk,
Hulk,Thor,
Hulk,Thor,
Thor,Hulk,
Hulk,Thor,
Hulk,Valkyrie,
Hulk,Valkyrie,
Thor,Valkyrie,
Thor,Hulk,
Valkyrie,Thor,
Valkyrie,Thor,
Thor,Hulk,
Hulk,Thor,
Hulk,Grandmaster,
Hulk,Thor,
Loki,Valkyrie,
Valkyrie,Loki,
Loki,Valkyrie,
Valkyrie,Loki,
Thor,Hulk,
Hulk,Thor,
Thor,Hulk,
Thor,Hulk,
Thor,Hulk,
Thor,Valkyrie,
Thor,Valkyrie,
Valkyrie,Hulk,
Thor,Hulk,
Thor,Loki,
Valkyrie,Thor,
Korg,Miek,
Korg,Valkyrie,
Grandmaster,Topaz,
Thor,Loki,
Loki,Thor,
Thor,Loki,
Thor,Loki,
Loki,Thor,
Loki,Thor,
Thor,Loki,
Thor,Grandmaster,
Thor,Valkyrie,
Hulk,Valkyrie,
Valkyrie,Warsong,
Valkyrie,Grandmaster,
Thor,Valkyrie,
Hulk,Topaz,
Thor,Valkyrie,
Korg,Loki,
Valkyrie,Thor,
Thor,Hulk,
Hela,Skurge,
Thor,Hela,
Thor,Hela,
Fenris,Heimdall,
Commodore,Valkyrie,Fenris
Skurge,Heimdall,
Hela,Thor,
Valkyrie,Hulk,
Korg,Heimdall,
Loki,Heimdall,
Thor,Hela,
Thor,Odin,
Loki,Korg,
Thor,Valkyrie,
Thor,Hela,
Valkyrie,Hela,
Skurge,Hela,
Hela,Valkyrie,
Valkyrie,Hela,
Thor,Valkyrie,
Thor,Hulk,
Thor,Heimdall,
Thor,Loki,
Loki,Thor,
Thor,Loki,
